Country/Region,Continent,Population,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop
Iraq,Asia,7241599.935185998,140603,5161.0,7012.617142857142,2469.2303370786517,27.694136204166664,3488.0,29.07209714306458,174228.7332620321,27111.0
Philippines,Asia,11567414.62566845,119460,2150.0,7012.617142857142,2469.2303370786517,29.200142513583327,1089.0,20.0,174228.7332620321,15220.0
Indonesia,Asia,11567414.62566845,118753,5521.0,7012.617142857142,2469.2303370786517,29.200142513583323,434.0,20.0,174228.7332620321,5965.0
Canada,North America,7241599.935185998,118561,8966.0,7012.617142857142,1161.3783948635635,27.694136204166664,3139.0,42.45018404907975,327839.0470588235,33855.74284137664
Qatar,Asia,2807805.0,112092,178.0,7012.617142857142,919.1181868354086,27.694136204166664,1932.3507853403141,63.0,136227.99896144614,37174.66849640472
Kazakhstan,Asia,18798667.0,95942,1058.0,7012.617142857142,2469.2303370786517,29.200142513583327,1254.751627225775,56.0,327839.0470588235,33855.74284137664
Egypt,Africa,11567414.62566845,95006,4951.0,3416.95259377494,2469.2303370786517,28.590305992532766,927.0,48.0,135000.0,1317.0
Ecuador,South America,17668824.0,90537,5877.0,7012.617142857142,1161.3783948635635,29.200142513583327,1254.751627225775,42.45018404907975,258582.0,14635.0
Bolivia,South America,11688459.0,86423,3465.0,3416.95259377494,2469.2303370786517,27.694136204166664,1685.4198167539266,42.45018404907975,183583.0,15706.0
Sweden,Europe,10105596.0,81967,5766.0,3416.9525937749404,900.0553118288609,28.590305992532766,1685.4198167539266,42.45018404907975,174228.7332620321,85429.0
Oman,Asia,5118446.0,80713,492.0,7012.617142857142,1161.3783948635635,29.200142513583327,1932.3507853403141,26.30272263742616,309212.0,60411.0
Israel,Asia,9197590.0,79559,576.0,7012.617142857142,2469.2303370786517,29.200142513583327,1685.4198167539266,63.0,327839.0470588235,37174.66849640472
Ukraine,Europe,7241599.935185998,76808,1819.0,3416.95259377494,2469.2303370786517,29.200142513583327,1757.0,42.0,174228.7332620321,25549.0
